1oaiA00,1.10.8.10,DNA helicase RuvA subunit, C-terminal domain
3frhA01,1.10.8.10,DNA helicase RuvA subunit, C-terminal domain
1oksA00,1.10.8.10,DNA helicase RuvA subunit, C-terminal domain
4un2B00,1.10.8.10,DNA helicase RuvA subunit, C-terminal domain
1cukA03,1.10.8.10,DNA helicase RuvA subunit, C-terminal domain
1t6oA00,1.10.8.10,DNA helicase RuvA subunit, C-terminal domain
2ooaA00,1.10.8.10,DNA helicase RuvA subunit, C-terminal domain
1p3qQ00,1.10.8.10,DNA helicase RuvA subunit, C-terminal domain
3k9oA02,1.10.8.10,DNA helicase RuvA subunit, C-terminal domain
3lcvB01,1.10.8.10,DNA helicase RuvA subunit, C-terminal domain
3e21A00,1.10.8.10,DNA helicase RuvA subunit, C-terminal domain
2ztdA03,1.10.8.10,DNA helicase RuvA subunit, C-terminal domain
2qsfX02,1.10.8.10,DNA helicase RuvA subunit, C-terminal domain
3fe3A03,1.10.8.10,DNA helicase RuvA subunit, C-terminal domain
3mmpA01,1.10.8.10,DNA helicase RuvA subunit, C-terminal domain
1xb2B01,1.10.8.10,DNA helicase RuvA subunit, C-terminal domain
2h5xA03,1.10.8.10,DNA helicase RuvA subunit, C-terminal domain
3ihpA05,1.10.8.10,DNA helicase RuvA subunit, C-terminal domain
1a5tA02,1.10.8.10,DNA helicase RuvA subunit, C-terminal domain
3ihpB05,1.10.8.10,DNA helicase RuvA subunit, C-terminal domain
3ihpB04,1.10.8.10,DNA helicase RuvA subunit, C-terminal domain
2hwjA02,1.10.8.10,DNA helicase RuvA subunit, C-terminal domain
1tr8A02,1.10.8.10,DNA helicase RuvA subunit, C-terminal domain
1g4aE02,1.10.8.10,DNA helicase RuvA subunit, C-terminal domain
1ixsA00,1.10.8.10,DNA helicase RuvA subunit, C-terminal domain
1bvsF03,1.10.8.10,DNA helicase RuvA subunit, C-terminal domain
1nv8B01,1.10.8.10,DNA helicase RuvA subunit, C-terminal domain
1im2A02,1.10.8.10,DNA helicase RuvA subunit, C-terminal domain
1g41A02,1.10.8.10,DNA helicase RuvA subunit, C-terminal domain
4gewA01,1.10.8.10,DNA helicase RuvA subunit, C-terminal domain
1kyiS02,1.10.8.10,DNA helicase RuvA subunit, C-terminal domain
2b3tA01,1.10.8.10,DNA helicase RuvA subunit, C-terminal domain
1g3iW02,1.10.8.10,DNA helicase RuvA subunit, C-terminal domain
1e94E02,1.10.8.10,DNA helicase RuvA subunit, C-terminal domain
1q02A00,1.10.8.10,DNA helicase RuvA subunit, C-terminal domain
2jy5A00,1.10.8.10,DNA helicase RuvA subunit, C-terminal domain
2mgwA00,1.10.8.10,DNA helicase RuvA subunit, C-terminal domain
1ifyA00,1.10.8.10,DNA helicase RuvA subunit, C-terminal domain
1otrA00,1.10.8.10,DNA helicase RuvA subunit, C-terminal domain
1pgyA00,1.10.8.10,DNA helicase RuvA subunit, C-terminal domain
2ekkA00,1.10.8.10,DNA helicase RuvA subunit, C-terminal domain
1v92A00,1.10.8.10,DNA helicase RuvA subunit, C-terminal domain
1tteA02,1.10.8.10,DNA helicase RuvA subunit, C-terminal domain
2jp7A00,1.10.8.10,DNA helicase RuvA subunit, C-terminal domain
2l4eA00,1.10.8.10,DNA helicase RuvA subunit, C-terminal domain
2lvaA01,1.10.8.10,DNA helicase RuvA subunit, C-terminal domain
1wglA00,1.10.8.10,DNA helicase RuvA subunit, C-terminal domain
2g3qA00,1.10.8.10,DNA helicase RuvA subunit, C-terminal domain
1wj7A01,1.10.8.10,DNA helicase RuvA subunit, C-terminal domain
2dzlA00,1.10.8.10,DNA helicase RuvA subunit, C-terminal domain
2dnaA00,1.10.8.10,DNA helicase RuvA subunit, C-terminal domain
1wivA00,1.10.8.10,DNA helicase RuvA subunit, C-terminal domain
2l2dA00,1.10.8.10,DNA helicase RuvA subunit, C-terminal domain
1oizA01,1.10.8.20,N-terminal domain of phosphatidylinositol transfer protein sec14p
3hx3A01,1.10.8.20,N-terminal domain of phosphatidylinositol transfer protein sec14p
3q8gA01,1.10.8.20,N-terminal domain of phosphatidylinositol transfer protein sec14p
1r5lA01,1.10.8.20,N-terminal domain of phosphatidylinositol transfer protein sec14p
2j5yA00,1.10.8.40,Albumin-binding domain
1mu5A02,1.10.8.50,
2vqeM01,1.10.8.50,
1k3xA02,1.10.8.50,
3gpuA02,1.10.8.50,
3doaA02,1.10.8.50,
3j7aS01,1.10.8.50,
3twlA02,1.10.8.50,
3w0fA02,1.10.8.50,
1i94M01,1.10.8.50,
2q2eB02,1.10.8.50,
1tdhA02,1.10.8.50,
4mb7A02,1.10.8.50,
4qosA02,1.10.8.60,
1lv7A02,1.10.8.60,
1in4A03,1.10.8.60,
3d8bB02,1.10.8.60,
2fnaA02,1.10.8.60,
4lrtC02,1.10.8.60,
1d2nA02,1.10.8.60,
2c9oB03,1.10.8.60,
3ajiB00,1.10.8.60,
1c1kA01,1.10.8.60,
4ko8B04,1.10.8.60,
3bosA02,1.10.8.60,
1qzmA00,1.10.8.60,
1njgB01,1.10.8.60,
4l4uA03,1.10.8.60,
3zh9B02,1.10.8.60,
1r6bX03,1.10.8.60,
2x8aA02,1.10.8.60,
4qhsA02,1.10.8.60,
3kw6A01,1.10.8.60,
3pvsA02,1.10.8.60,
2qz4A02,1.10.8.60,
2chgA02,1.10.8.60,
1w5sA01,1.10.8.60,
4lcbA02,1.10.8.60,
1njgA02,1.10.8.60,
3b9pA02,1.10.8.60,
1fnnA01,1.10.8.60,
3whkA02,1.10.8.60,
4fcwA02,1.10.8.60,
3uk6D02,1.10.8.60,
1r6bX05,1.10.8.60,
1jr3D03,1.10.8.60,
1jqjD03,1.10.8.60,
1sxjA02,1.10.8.60,
1sxjD02,1.10.8.60,
1sxjC02,1.10.8.60,
1um8A02,1.10.8.60,
2z4sA02,1.10.8.60,
1im2A03,1.10.8.60,
1sxjE02,1.10.8.60,
3u61C02,1.10.8.60,
1l8qA02,1.10.8.60,
3u60E02,1.10.8.60,
2v1uA01,1.10.8.60,
2qbyB01,1.10.8.60,
1r7rA06,1.10.8.60,
1j09A04,1.10.8.70,
1e9rA02,1.10.8.80,
1g8pA02,1.10.8.80,
3futA02,1.10.8.100,
3ftdA02,1.10.8.100,
3uzuA02,1.10.8.100,
3tqsA02,1.10.8.100,
4jxjA02,1.10.8.100,
1qamA02,1.10.8.100,
1i4wA02,1.10.8.100,
1jb0F00,1.10.8.110,
1gvnC00,1.10.8.130,
2cruA01,1.10.8.140,DNA Binding Protein, Hypothetical Protein Mth1615; Chain A
2fh0A00,1.10.8.140,DNA Binding Protein, Hypothetical Protein Mth1615; Chain A
1eijA00,1.10.8.140,DNA Binding Protein, Hypothetical Protein Mth1615; Chain A
1v33A02,1.10.8.160,DNA primase S; domain 2
1oaoC01,1.10.8.190,Carbon monoxide dehydrogenase alpha subunit. Chain M, domain 1
1no1A00,1.10.8.200,Replisome organizer (g39p helicase loader/inhibitor protein)
1pjqA03,1.10.8.210,multifunctional methyltransferase/dehydrogenase/ferrochelatase, domain 3
3c3dA02,1.10.8.240,CofD-like domain
2gnoA02,1.10.8.250,DNA polymerase III clamp loader domain like
3v76A03,1.10.8.260,HI0933 insert domain-like
2gqfA03,1.10.8.260,HI0933 insert domain-like
2qq8A02,1.10.8.270,putative rabgap domain of human tbc1 domain family member 14 like domains
3qyeA02,1.10.8.270,putative rabgap domain of human tbc1 domain family member 14 like domains
2vf7C03,1.10.8.280,ABC transporter ATPase domain-like
2r6fB04,1.10.8.280,ABC transporter ATPase domain-like
3c9pA00,1.10.8.290,uncharacterized protein sp1917 domain
2r44A03,1.10.8.300,putative atpase (yp_676785.1)
2aplA01,1.10.8.330,PG0816-like
