214330	CHL00001	1654.26
214331	CHL00002	547.58
176948	CHL00003	504.419
176949	CHL00004	656.924
176950	CHL00005	103.181
176951	CHL00008	53.5585
176952	CHL00009	36.6122
214332	CHL00010	119.713
176954	CHL00011	782.208
176955	CHL00012	315.097
214333	CHL00013	105.815
214334	CHL00014	305.915
176958	CHL00015	103.159
214335	CHL00016	141.581
176960	CHL00017	794.286
214336	CHL00018	586.1
176962	CHL00019	166.579
176963	CHL00020	57.3925
176964	CHL00022	177.102
214337	CHL00023	387.91
176966	CHL00024	43.1207
214338	CHL00025	961.272
214339	CHL00027	67.6759
214340	CHL00028	166.957
176970	CHL00029	22.9164
176971	CHL00030	109.622
176972	CHL00031	41.9771
214341	CHL00032	578.443
176974	CHL00033	174.04
214342	CHL00034	127.739
214343	CHL00035	848.24
176977	CHL00036	203.514
176978	CHL00037	332.27
176979	CHL00038	63.1772
176980	CHL00039	59.3695
176981	CHL00040	974.181
176982	CHL00041	110.348
214344	CHL00042	150.32
214345	CHL00043	225.468
176985	CHL00044	207.826
214346	CHL00045	324.492
176987	CHL00046	267.185
214347	CHL00047	43.1213
214348	CHL00048	141.115
176990	CHL00049	674.411
176991	CHL00050	80.7358
176992	CHL00051	149.022
176993	CHL00052	245.544
176994	CHL00053	108.818
176995	CHL00054	1366.72
176996	CHL00056	1415.66
176997	CHL00057	151.576
176998	CHL00058	245.681
176999	CHL00059	734.846
214349	CHL00060	777.681
177001	CHL00061	99.4023
214350	CHL00062	798.516
214351	CHL00063	151.941
177004	CHL00064	67.4487
177005	CHL00065	93.6723
177006	CHL00066	80.0681
177007	CHL00067	114.176
214352	CHL00068	91.0344
177009	CHL00070	381.761
177010	CHL00071	697.091
177011	CHL00072	484.24
214353	CHL00073	885.869
214354	CHL00074	140.327
177014	CHL00075	120.361
214355	CHL00076	795.765
177016	CHL00077	83.0949
214356	CHL00078	225.879
214357	CHL00079	153.897
177019	CHL00080	36.6794
177020	CHL00081	589.262
177021	CHL00082	44.2409
214358	CHL00083	135.484
177023	CHL00084	109.249
214359	CHL00085	672.112
164492	CHL00086	331.568
164493	CHL00088	302.292
100206	CHL00089	251.639
164494	CHL00090	301.7
164495	CHL00091	1466.59
177025	CHL00093	994.227
214360	CHL00094	1130.6
214361	CHL00095	758.051
214362	CHL00098	298.13
214363	CHL00099	1124.4
214364	CHL00100	247.315
214365	CHL00101	282.005
214366	CHL00102	76.3376
214367	CHL00103	58.1724
177033	CHL00104	75.3957
177034	CHL00105	59.2829
177035	CHL00106	24.5641
177036	CHL00108	41.8849
177037	CHL00112	75.7355
177038	CHL00113	173.478
100224	CHL00114	33.6695
177039	CHL00115	42.4506
214368	CHL00117	1024.88
214369	CHL00118	145.515
177042	CHL00119	204.064
177043	CHL00120	208.359
214370	CHL00121	128.59
214371	CHL00122	995.27
177046	CHL00123	106.24
177047	CHL00124	85.8428
177048	CHL00125	92.5359
177049	CHL00127	127.102
177050	CHL00128	194.89
177051	CHL00129	403.232
177052	CHL00130	168.014
214372	CHL00131	427.136
177054	CHL00132	332.779
177055	CHL00133	267.706
177056	CHL00134	168.36
177057	CHL00135	147.057
177058	CHL00136	117.059
177059	CHL00137	160.573
177060	CHL00138	118.169
214373	CHL00139	157.878
177062	CHL00140	238.269
214374	CHL00141	67.7477
177064	CHL00142	79.7049
177065	CHL00143	221.038
177066	CHL00144	615.981
177067	CHL00145	219.246
214375	CHL00147	271.502
214376	CHL00148	358.26
177069	CHL00149	640.376
164542	CHL00151	401.478
214377	CHL00152	47.7127
177071	CHL00154	62.4753
177072	CHL00159	206.377
214378	CHL00160	177.273
214379	CHL00161	298.836
214380	CHL00162	458.018
214381	CHL00163	105.523
164550	CHL00164	103.741
214382	CHL00165	189.265
214383	CHL00168	373.735
100270	CHL00170	291.906
100271	CHL00171	293.058
133617	CHL00172	327.412
100273	CHL00173	286.252
214384	CHL00174	401.204
214385	CHL00175	414.938
214386	CHL00176	751.882
214387	CHL00177	315.818
177082	CHL00180	421.736
177083	CHL00181	543.542
177084	CHL00182	197.509
177085	CHL00183	178.045
177086	CHL00184	35.762
177087	CHL00185	599.401
177088	CHL00186	27.2449
